"reg","yr","egy_hh"
"aus",1997,4.386718
"nzl",1997,0.297189
"chn",1997,261.195279
"hkg",1997,0.316411
"jpn",1997,9.563533
"kor",1997,4.49325
"twn",1997,0.649224
"idn",1997,38.281203
"mys",1997,1.004902
"phl",1997,6.352394
"sgp",1997,0.033405
"tha",1997,4.801691
"vnm",1997,10.092161
"bgd",1997,7.605859
"ind",1997,112.481668
"lka",1997,3.18704
"xsa",1997,38.7784700782575
"can",1997,17.814418
"usa",1997,130.645464441093
"mex",1997,7.277026
"xcm",1997,30.6607100896515
"col",1997,2.024839
"per",1997,2.019176
"ven",1997,0.350241
"xap",1997,0.858065
"arg",1997,5.186476
"bra",1997,8.20187782453047
"chl",1997,3.051041
"ury",1997,0.30321
"xsm",1997,2.15646933031514
"aut",1997,2.82034069912212
"bel",1997,3.649028
"dnk",1997,1.058733
"fin",1997,1.061092
"fra",1997,17.0074754407122
"deu",1997,26.7993603425719
"gbr",1997,28.516516
"grc",1997,0.804921
"irl",1997,0.906159
"ita",1997,14.9084296760449
"lux",1997,0.216244
"nld",1997,9.795783
"prt",1997,1.1569
"esp",1997,3.432799
"swe",1997,0.705462
"che",1997,1.260911
"xef",1997,0.645302325057768
"alb",1997,0.287594
"bgr",1997,0.229855
"hrv",1997,1.487137
"cze",1997,4.43941249642899
"hun",1997,3.836975
"mlt",1997,0
"pol",1997,12.530524
"rou",1997,5.085636
"svk",1997,1.45257
"svn",1997,0.210081
"est",1997,0.501528
"lva",1997,0.824985
"ltu",1997,0.639216
"rus",1997,51.27924
"xsu",1997,32.717694
"cyp",1997,0
"tur",1997,12.027027
"xme",1997,12.968843
"mar",1997,0.537221
"xnf",1997,3.874789
"bwa",1997,0.514001
"xsc",1997,11.3462159101838
"mwi",1997,2.70892625020864
"moz",1997,4.227474
"tza",1997,7.649561
"zmb",1997,3.070089
"zwe",1997,4.909004
"xac",1997,13.022814
"uga",1997,6.72349098250965
"xss",1997,130.262059329343
"xtw",1997,235.880267972408
"aus",2001,4.603466
"nzl",2001,0.343198
"chn",2001,233.092887
"hkg",2001,0.361677
"jpn",2001,9.619564
"kor",2001,6.458534
"twn",2001,0.700784
"idn",2001,40.973507
"mys",2001,0.986423
"phl",2001,5.38292
"sgp",2001,0.040004
"tha",2001,5.133906
"vnm",2001,10.965334
"bgd",2001,8.369564
"ind",2001,118.07324579787
"lka",2001,3.063008
"xsa",2001,46.8216091273057
"can",2001,16.5657862805245
"usa",2001,125.2251253508
"mex",2001,6.895966
"xcm",2001,30.1973351306977
"col",2001,2.237417
"per",2001,2.014885
"ven",2001,0.984176
"xap",2001,0.572729
"arg",2001,5.9823
"bra",2001,8.87735644437195
"chl",2001,3.348782
"ury",2001,0.303704
"xsm",2001,1.87530281820394
"aut",2001,2.89637191546731
"bel",2001,3.999722
"dnk",2001,1.178141
"fin",2001,1.090442
"fra",2001,20.286375935068
"deu",2001,29.2206765288313
"gbr",2001,30.659998
"grc",2001,0.809999
"irl",2001,0.893655
"ita",2001,17.0727602267164
"lux",2001,0.189682
"nld",2001,9.396922
"prt",2001,1.278571
"esp",2001,4.46715394641099
"swe",2001,0.662785788303441
"che",2001,1.294535
"xef",2001,0.683417782823796
"alb",2001,0.116556
"bgr",2001,0.498031
"hrv",2001,1.510776
"cze",2001,4.27625747865313
"hun",2001,4.082035
"mlt",2001,0
"pol",2001,10.13759
"rou",2001,3.754869
"svk",2001,1.75939850252286
"svn",2001,0.421492
"est",2001,0.383426
"lva",2001,0.832551
"ltu",2001,0.664884
"rus",2001,55.049285
"xsu",2001,32.918924
"cyp",2001,0
"tur",2001,11.290964
"xme",2001,17.900806
"mar",2001,0.562109
"xnf",2001,4.090932
"bwa",2001,0.543064
"xsc",2001,11.0504156696147
"mwi",2001,2.57239559347695
"moz",2001,5.396178
"tza",2001,9.507552
"zmb",2001,3.43291
"zwe",2001,5.261087
"xac",2001,14.625193
"uga",2001,5.84247524695841
"xss",2001,142.404681673992
"xtw",2001,247.205267866944
"aus",2004,4.35176159137362
"nzl",2004,0.351492
"chn",2004,225.257795
"hkg",2004,0.378196
"jpn",2004,9.532752
"kor",2004,7.80622276659535
"twn",2004,0.737158
"idn",2004,42.567058
"mys",2004,0.967389
"phl",2004,4.655426
"sgp",2004,0.044561
"tha",2004,5.87507181038817
"vnm",2004,11.725312
"bgd",2004,9.1856
"ind",2004,124.057875229602
"lka",2004,2.993121
"xsa",2004,49.0902419234492
"can",2004,17.4031736330971
"usa",2004,128.705580314223
"mex",2004,7.039044
"xcm",2004,32.5144192425675
"col",2004,2.186991
"per",2004,2.105634
"ven",2004,1.147609
"xap",2004,0.557244
"arg",2004,6.105218
"bra",2004,10.4734046899076
"chl",2004,3.382134
"ury",2004,0.310457
"xsm",2004,1.84060643985337
"aut",2004,2.67963288731173
"bel",2004,4.061386
"dnk",2004,1.309025
"fin",2004,1.14559406927709
"fra",2004,21.9925974551152
"deu",2004,29.4830593205981
"gbr",2004,31.5626318044558
"grc",2004,0.84527
"irl",2004,0.995058
"ita",2004,20.2947326755787
"lux",2004,0.220163
"nld",2004,8.922677
"prt",2004,1.352269
"esp",2004,5.35573225987994
"swe",2004,0.679613901783505
"che",2004,1.39016992344383
"xef",2004,0.71942815751928
"alb",2004,0.207963
"bgr",2004,0.750729
"hrv",2004,1.646375
"cze",2004,4.21747525232697
"hun",2004,4.274475
"mlt",2004,0
"pol",2004,10.7903422748507
"rou",2004,5.246672
"svk",2004,1.61979752025286
"svn",2004,0.422682
"est",2004,0.396995
"lva",2004,0.879379
"ltu",2004,0.695581806069375
"rus",2004,49.613381
"xsu",2004,34.12782
"cyp",2004,0
"tur",2004,12.451598
"xme",2004,26.091161
"mar",2004,1.182435
"xnf",2004,5.081629
"bwa",2004,0.455909
"xsc",2004,12.9052828941805
"mwi",2004,2.14550159409008
"moz",2004,5.704202
"tza",2004,10.490375
"zmb",2004,3.718461
"zwe",2004,5.50065
"xac",2004,16.076674
"uga",2004,5.78418069292656
"xss",2004,155.589331934755
"xtw",2004,260.444685801052
"aus",2007,4.54522913877485
"nzl",2007,0.310246143786403
"chn",2007,212.819474954329
"hkg",2007,0.370684
"jpn",2007,9.80652858387167
"kor",2007,8.32479687537783
"twn",2007,0.757923
"idn",2007,43.7027684366344
"mys",2007,0.963588311135583
"phl",2007,4.11498807193243
"sgp",2007,0.04641
"tha",2007,6.01356161277224
