"reg","yr","p_fos","fp_fos","c_fos","p_nuc","fp_nuc","c_nuc","p_rsn","fp_rsn","c_rsn","p_hyd","fp_hyd","c_hyd","p_bfl","fp_bfl","c_bfl","p_wnd","fp_wnd","c_wnd","p_sol","fp_sol","c_sol","p_rsr","fp_rsr","c_rsr","p_tfs","fp_tfs","c_tfs","p_elh","fp_elh","c_elh","x_fos","m_fos","x_nuc","m_nuc","x_rsn","m_rsn","x_hyd","m_hyd","x_bfl","m_bfl","x_wnd","m_wnd","x_sol","m_sol","x_rsr","m_rsr","x_tfs","m_tfs","x_elh","m_elh"
"alb",1997,391.493843605101,1257.07485392704,1826.51157563082,0,9.28120217983349,22.1855486680567,0,0.122662134582873,0.354491319470437,432.330072141426,363.646552527559,331.907296940039,287.594,292.445906703323,300.3099323048,0,0.017917254313203,0.0421144119581211,0,0.0339284043035804,0.0608950392947905,0,0.803341982319492,2.050915176115,452.494368105955,644.657760080491,790.473364864089,188.014862554561,204.695795477097,224.995141823988,58.280516164677,1493.29824819039,0,22.1855486680567,0,0.354491319470437,113.631905958493,13.2091307571059,0,12.7159323047996,0,0.0421144119581211,0,0.0608950392947905,0,2.050915176115,77.9487224243361,415.92771918247,32.2261864138298,69.2064656832565
"arg",1997,54888.7373043647,54941.2824192969,56359.3031449379,2074.31101973989,2516.57702660645,2649.55107533175,0,7.58328864345187,11.5626437558288,2408.85602292354,3232.93343764307,3394.48114003178,2841.39091955733,3471.74275874998,3627.03763220261,1.29000001227611,2.17306312377488,2.45167229516656,0,0.261482505887485,0.419219582927145,0,36.3752818356839,53.0536020372627,24553.3657741101,25551.083190988,27272.0621506935,5653.7399149361,6786.8575164582,7110.34270076301,11737.1140263565,13207.6798669298,116.157014733307,691.397070325162,0,11.5626437558288,134.890824896756,1120.51594200499,197.738611875554,983.385324520842,0.0722372628819719,1.23390954577243,0,0.419219582927145,0,53.0536020372627,3385.84387394735,6104.54025053071,295.194444869474,1751.79723069639
"aus",1997,93734.5080233527,88632.7941934199,92141.1272714404,0,880.412945252571,1466.1032996193,172.064996732876,145.421677843697,141.08708668889,1419.77598726892,1532.07675684073,1691.20975908406,4896.88999977835,5067.40844891253,5132.39821733435,0.601999994601888,2.02678184550346,2.91603780204939,81.8239999822633,81.9188402169917,82.2448106368064,0,146.651214316359,209.699524367462,44419.6392923045,43001.5342364924,44133.7665444265,14763.800086055,13332.1801143289,14079.9322223829,28308.9382534091,26715.5575014968,0,1466.1032996193,54.4866262016877,23.5087161577018,372.718653128561,644.1524249437,806.114480773469,1041.62269832947,0.158036640416089,2.47207444786359,0.519263247081436,0.940073901624501,0,209.699524367462,11892.9709289401,11607.0981810622,4173.76697169234,3489.89910802023
"aut",1997,18991.9070521423,27201.766111692,30597.4767147284,0,1392.19984417674,1988.04827958545,268.986994904256,228.793648643914,222.947249081182,3104.47098894504,2463.00921646883,2280.55545424686,2697.7420475362,2572.39964287135,2661.93736136497,1.71999999387511,5.14267517263559,6.52589946994452,48.3229998668865,45.7559991799859,44.4918797367183,50.5629997948336,102.573610608511,130.13623841248,13479.0843407825,16458.7500266016,17011.6646761646,5415.06352727867,6265.96089081669,6775.78073998558,7607.71487319621,19213.2845357823,0,1988.04827958545,86.8173386802727,40.7775928571992,1307.79742335749,483.881888659306,602.424304184059,566.619618012833,0.724571615639147,5.53047109170855,4.50248838832306,0.671368258154856,20.378309160057,99.9515477777032,3869.03226472538,7401.61260010743,1629.9288873598,2990.64610006671
"bel",1997,51071.2423090699,54964.0277909535,50823.9708846936,12352.5888644953,10668.8420204294,9012.68762588422,398.992003593199,293.137465005992,255.297934337482,26.2249997123185,815.892121878442,857.755409496553,351.317999498978,3598.68552508257,2916.5787472497,0.687999992452816,6.11792332574745,6.4467276476758,0.979000006320293,1.81027879501998,1.89358940117994,139.246998472496,203.376637004664,204.37187076702,32051.1268902754,30694.2289181942,27355.6637238776,6930.47297113866,9091.1491339245,8520.42647951477,34633.3056810432,34386.0342566669,6413.81190934344,3073.9106707324,180.78162530733,37.0875560516125,13.6167581810203,845.147167965255,120.908875425386,2686.16962317611,0.357228965816663,6.11595662103965,0.211272622436321,1.12586201729597,72.300961923071,137.425834217595,16772.5582534291,12077.0950870313,3393.34216125661,4983.29566963271
"bgd",1997,5555.00673536062,9348.84260184641,9949.87315745739,0,117.466031991523,143.594958673507,0,1.89571368435396,2.63199134423495,61.8229987715802,113.174597927256,120.527228484747,7262.43899618529,7343.03538350021,7342.15020940641,0,0.260667711475539,0.356061102433256,0,0.0552302207594583,0.0732272882739592,0,8.87377070756853,11.5688605228802,3155.337159271,4202.73467360303,4496.20692547947,865.261951564119,1199.07280335525,1250.93209073535,951.287229456248,5346.15365155302,0,143.594958673507,0,2.63199134423495,17.1701779853122,75.8744076984793,53.3199529355122,133.031166156633,0,0.356061102433256,0,0.0732272882739592,0,11.5688605228802,225.230340066546,1566.10010627501,74.2470201974465,459.917159368673
"bgr",1997,16693.5217819753,14017.1965812511,11632.793410578,4631.87373433643,3513.71635916475,3007.94368567954,20.5169978326895,17.2549120993443,14.5179041538416,236.800986418154,245.584684647231,213.035243015815,234.211998409177,272.474805822823,256.036945816283,0,0.223420258420774,0.206179223240993,0,0.088176871183667,0.079377528735746,0,6.87985232139872,6.33766965581789,5233.40032081782,4832.72737128122,4173.94127920418,4207.81582507601,3995.56289808746,3557.933810605,7797.54864447813,2736.82027308081,1770.89826170725,146.968213050363,8.15538798575126,2.15629430690334,90.535813208766,66.7700698064272,30.0989756594685,51.9239230665749,0,0.206179223240993,0,0.079377528735746,0,6.33766965581789,1942.15612911389,882.697087500252,1157.73372007722,507.851705606206
"bra",1997,89501.1224706333,116936.807325538,124493.739352532,825.711980867467,2943.72858167618,3820.21893944101,0,23.9837792370762,38.7066338938414,23987.273444192,24641.2171055522,25138.5954510556,53314.3194018549,50937.8247737691,50210.9761223241,0.343999992029192,5.45852265563292,7.46336474269559,0,0.844109607343315,1.22418998897255,0,168.101757176672,237.981849885471,84632.104960225,89634.7339772082,91149.7365916471,25338.6927071165,26273.4119387917,26903.1806418889,10281.2339604557,45273.8508423541,83.869069143714,3078.37602771726,0,38.7066338938414,2436.4310336718,3587.75304053536,4975.87829207418,1872.53501254337,0.0349407054583652,7.15430545612476,0,1.22418998897255,0,237.981849885471,7839.8213754679,14357.45300689,2484.62880701174,4049.11674178421
"bwa",1997,449.193553491942,1735.90948809205,2097.18001677805,0,31.251197935251,48.5642262863987,0,0.228507457250695,0.47852836396051,0,6.24546675257221,10.1764411079078,512.492000004911,554.674240757169,582.102731047545,0,0.0223620404259153,0.0385367395129393,0.502000005019509,0.506668469129746,0.509579421826057,0,0.510038552718666,0.957803004175075,637.295555811593,652.499683814953,707.801185056727,128.202993838102,209.020236798387,239.877408102358,90.2634112874894,1738.2498745736,0,48.5642262863987,0,0.47852836396051,0,10.1764411079078,0.0250941514492382,69.6358251940834,0,0.0385367395129393,0.00452311532780469,0.0121025321343526,0,0.957803004175075,324.919082488199,395.424711733333,35.1335551904358,146.807969454692
"can",1997,172798.091654105,161382.003142186,160171.527218978,21532.0400347506,17581.9201942424,16784.6237016936,84.5509982562409,77.5174120503532,90.280194260399,30154.6000486665,21812.4642029508,19415.0309632087,12077.0761946159,9936.55722077892,9693.98507602281,5.33100000860371,8.3095706017924,9.80975523237907,0.602000000971569,2.96054840521914,4.12992654854655,79.9230001289878,299.431489403874,429.6152824286,100556.496163157,92155.1171623559,91864.2131271918,43396.1592603905,35753.1227955746,34855.9471227653,67843.9820555885,55217.4176204615,8492.21836686299,3744.80203380601,34.7175661832383,40.4467621873964,11892.9487389679,1153.37965351006,4432.80577139086,2049.7146527978,2.10254189169937,6.58129711547473,0.237428290902837,3.76535483847782,31.521563611009,381.213845910621,28697.9774228059,20005.6943868408,16101.363142456,7561.15100483084
"che",1997,7401.55930416141,20570.9369183952,35856.8654276895,6643.95494202913,5780.23395609854,6712.20991412056,542.824995638203,447.589441057071,422.063313820922,2927.17097445939,1954.14911101159,1853.9197699712,756.427019484667,1298.09160623506,2170.65945422523,0.171999998499239,3.50172867458996,6.20752049500367,10.1799999758709,10.0148933402144,10.1480529028818,394.597996146248,441.078650586446,484.053913665276,13179.2270408971,16469.7862408418,20483.832851515,4774.53095549292,5887.07368873292,7003.2630763178,2693.49631862395,31148.8024421521,4097.5456690412,4165.80064113264,153.246056906454,32.484375089173,1805.28267479129,732.031470303105,157.792501587546,1572.02493632811,0.106078059691116,6.14159855619554,0.87740126872904,0.845454195740008,19.0296518093019,108.48556932833,3160.62941936794,10465.2352299858,1575.45994034751,3804.1920611724
"chl",1997,14105.4728424679,19049.9560301127,20463.8085136527,0,206.140687889894,377.674466591663,0,2.41021026692204,5.46797206260192,1629.06193099797,1199.93655320946,1222.67823820377,4318.87296980834,4090.05802325076,4101.71032059267,0,0.350777113715328,0.625202502372975,0,0.127075405868489,0.259998480310492,0,20.4403783499494,39.3443931642448,12704.3040941779,11626.1060245202,11534.9654811303,2631.04096727929,2163.34710352138,2472.41563785677,3469.81527622323,9828.15094740802,0,377.674466591663,0,5.46797206260192,610.592838356874,204.20914556267,516.424594752286,299.26194553662,0,0.625202502372975,0,0.259998480310492,0,39.3443931642448,4168.71699396562,2999.37838091803,1049.15908512855,890.533755706036
