"reg","yr","unit","va_pr","va_fp","va_cn"
"aus",1997,"millions",336652.11911039,329035.48247076,337285.530116782
"nzl",1997,"millions",54311.5846651266,53583.9973272328,52951.6958355462
"chn",1997,"millions",670008.702068912,719533.692232705,671142.584513053
"hkg",1997,"millions",132295.982433296,141860.775771165,163580.912109469
"jpn",1997,"millions",3468804.15894529,3459404.80604598,3414991.75019215
"kor",1997,"millions",373704.092589787,394434.651435538,375014.431532322
"twn",1997,"millions",262146.961165671,256303.246589309,238106.882590596
"idn",1997,"millions",184644.055403202,178264.216265695,184306.187486961
"mys",1997,"millions",95689.505721292,80186.824621683,84758.3240272523
"phl",1997,"millions",62569.5602075863,71025.4330511725,76884.8333907227
"sgp",1997,"millions",68584.3110462636,93918.8509527939,73533.4971751447
"tha",1997,"millions",129962.993709816,133517.668762647,129785.975383649
"vnm",1997,"millions",17427.9298074841,20005.9348360708,20894.8538375695
"bgd",1997,"millions",39606.4953767699,41929.7206803075,41211.2462905328
"ind",1997,"millions",334155.813760656,343503.011377889,339989.008069492
"lka",1997,"millions",12696.1364272388,13672.9895018035,13432.7886394032
"xsa",1997,"millions",57890.7029473464,61283.5748654992,61440.8625813923
"can",1997,"millions",520063.65962804,503870.469407365,506402.131401181
"usa",1997,"millions",7539351.7269959,7517970.3235568,7602303.26201153
"mex",1997,"millions",330010.513175762,334511.194247145,324267.792882256
"xcm",1997,"millions",75442.0987962872,86978.6175677166,93870.2682004987
"col",1997,"millions",83177.6900939975,81696.3571351507,84961.0975829741
"per",1997,"millions",57070.390988395,58212.6782214806,58461.1281815524
"ven",1997,"millions",75248.5610952799,67713.7053791374,70441.9677453774
"xap",1997,"millions",23369.748306533,24482.9753226395,24145.9723596095
"arg",1997,"millions",298942.759040137,300774.371889565,301956.048740756
"bra",1997,"millions",696657.59534586,710330.512661668,715333.330010628
"chl",1997,"millions",63015.2679569628,60570.3040061198,64181.0588186104
"ury",1997,"millions",15147.6498516595,15509.5918631005,15809.6871909739
"xsm",1997,"millions",8486.08230188963,8099.58923757476,9466.60774146449
"aut",1997,"millions",163106.003085612,165083.757920381,169233.085091651
"bel",1997,"millions",206471.373517866,219832.543531588,208540.076291374
"dnk",1997,"millions",137335.97211861,136050.665463962,128643.123781302
"fin",1997,"millions",93974.2465740932,89721.2394189613,85707.8412972123
"fra",1997,"millions",1125754.42689658,1112846.04541328,1098786.29915219
"deu",1997,"millions",1751890.67607966,1743437.95603435,1709558.71293117
"gbr",1997,"millions",1129074.0082998,1096562.61728314,1149212.64833095
"grc",1997,"millions",96701.7859179088,100287.824741266,109051.937516147
"irl",1997,"millions",56542.7323581983,59001.8091869389,51418.5955909491
"ita",1997,"millions",972177.165479669,990186.650939677,936428.984969883
"lux",1997,"millions",8597.19684519724,9360.93302079965,9025.65073284449
"nld",1997,"millions",292939.964014308,295948.770275578,278365.727818217
"prt",1997,"millions",75861.7960573788,83698.4965646103,87729.4866131925
"esp",1997,"millions",451284.570723537,465919.908809138,460169.743995699
"swe",1997,"millions",189650.09186203,184747.944105777,173149.384418192
"che",1997,"millions",214425.434495292,198080.317199783,199805.426875233
"xef",1997,"millions",140769.377211906,118613.397133432,125683.073425328
"alb",1997,"millions",1409.81560145172,1565.43413855922,2012.45400487057
"bgr",1997,"millions",9270.56408674547,10355.411272236,8822.43037930773
"hrv",1997,"millions",13339.2037562016,13675.4974862085,15957.2894346423
"cze",1997,"millions",45374.1253172804,49896.5349538775,48480.1720399418
"hun",1997,"millions",31874.7336455622,36525.0936930178,34196.738413006
"mlt",1997,"millions",2173.15216573954,2470.16810926079,2990.1465441607
"pol",1997,"millions",97667.7999817741,109376.179105731,110933.518541619
"rou",1997,"millions",29878.5615129734,31603.3602965338,32163.9724227232
"svk",1997,"millions",15272.4343959982,16926.3712827423,16966.1035450734
"svn",1997,"millions",14677.3660501315,16181.6256741456,15310.4801215296
"est",1997,"millions",3261.63393352299,3665.06480495568,4016.06539122939
"lva",1997,"millions",3575.14266917628,3960.37589990317,4402.75670810499
"ltu",1997,"millions",6258.18215693699,7334.46301582932,7657.29718299152
"rus",1997,"millions",362225.610739245,338104.67413067,361146.14710094
"xsu",1997,"millions",104031.755899304,103526.155528407,108032.633725066
"cyp",1997,"millions",6290.00910879633,6072.22374530311,6847.89222088367
"tur",1997,"millions",166510.919336907,175221.607899045,177458.066914612
