"cntry","reg","yr","pop","wb_ig"
"Albania","alb",1997,3.148281,"UM"
"Albania","alb",2001,3.060173,"UM"
"Albania","alb",2004,3.026939,"UM"
"Albania","alb",2007,2.970017,"UM"
"Albania","alb",2011,2.905195,"UM"
"Albania","alb",2014,2.889104,"UM"
"Argentina","arg",1997,35.833969,"UM"
"Argentina","arg",2001,37.471509,"UM"
"Argentina","arg",2004,38.728696,"UM"
"Argentina","arg",2007,39.970224,"UM"
"Argentina","arg",2011,41.656879,"UM"
"Argentina","arg",2014,42.981515,"UM"
"Australia","aus",1997,18.517,"H"
"Australia","aus",2001,19.413,"H"
"Australia","aus",2004,20.1274,"H"
"Australia","aus",2007,20.8276,"H"
"Australia","aus",2011,22.340024,"H"
"Australia","aus",2014,23.504138,"H"
"Austria","aut",1997,7.968041,"H"
"Austria","aut",2001,8.042293,"H"
"Austria","aut",2004,8.171966,"H"
"Austria","aut",2007,8.295487,"H"
"Austria","aut",2011,8.391643,"H"
"Austria","aut",2014,8.541575,"H"
"Belgium","bel",1997,10.181245,"H"
"Belgium","bel",2001,10.28657,"H"
"Belgium","bel",2004,10.421137,"H"
"Belgium","bel",2007,10.6257,"H"
"Belgium","bel",2011,11.047744,"H"
"Belgium","bel",2014,11.209057,"H"
"Bangladesh","bgd",1997,123.85464,"LM"
"Bangladesh","bgd",2001,134.10716,"LM"
"Bangladesh","bgd",2004,141.307489,"LM"
"Bangladesh","bgd",2007,147.139191,"LM"
"Bangladesh","bgd",2011,153.911916,"LM"
"Bangladesh","bgd",2014,159.405279,"LM"
"Bulgaria","bgr",1997,8.312068,"UM"
"Bulgaria","bgr",2001,8.009142,"UM"
"Bulgaria","bgr",2004,7.71686,"UM"
"Bulgaria","bgr",2007,7.545338,"UM"
"Bulgaria","bgr",2011,7.348328,"UM"
"Bulgaria","bgr",2014,7.223938,"UM"
"Brazil","bra",1997,167.545164,"UM"
"Brazil","bra",2001,177.75067,"UM"
"Brazil","bra",2004,184.738458,"UM"
"Brazil","bra",2007,191.026637,"UM"
"Brazil","bra",2011,198.686688,"UM"
"Brazil","bra",2014,204.213133,"UM"
"Botswana","bwa",1997,1.637635,"UM"
"Botswana","bwa",2001,1.754935,"UM"
"Botswana","bwa",2004,1.82933,"UM"
"Botswana","bwa",2007,1.914414,"UM"
"Botswana","bwa",2011,2.051339,"UM"
"Botswana","bwa",2014,2.168573,"UM"
"Canada","can",1997,29.9872,"H"
"Canada","can",2001,31.0819,"H"
"Canada","can",2004,31.995,"H"
"Canada","can",2007,32.887928,"H"
"Canada","can",2011,34.34278,"H"
"Canada","can",2014,35.535348,"H"
"Switzerland","che",1997,7.088906,"H"
"Switzerland","che",2001,7.229854,"H"
"Switzerland","che",2004,7.389625,"H"
"Switzerland","che",2007,7.551117,"H"
"Switzerland","che",2011,7.912398,"H"
"Switzerland","che",2014,8.188649,"H"
"Chile","chl",1997,14.694835,"H"
"Chile","chl",2001,15.444969,"H"
"Chile","chl",2004,15.973778,"H"
"Chile","chl",2007,16.491687,"H"
"Chile","chl",2011,17.153357,"H"
"Chile","chl",2014,17.613798,"H"
"China","chn",1997,1230.075,"UM"
"China","chn",2001,1271.85,"UM"
"China","chn",2004,1296.075,"UM"
"China","chn",2007,1317.885,"UM"
"China","chn",2011,1344.13,"UM"
"China","chn",2014,1364.27,"UM"
"Colombia","col",1997,38.645411,"UM"
"Colombia","col",2001,40.988909,"UM"
"Colombia","col",2004,42.724163,"UM"
"Colombia","col",2007,44.374572,"UM"
"Colombia","col",2011,46.406646,"UM"
"Colombia","col",2014,47.791911,"UM"
"Cyprus","cyp",1997,0.891192,"H"
"Cyprus","cyp",2001,0.960282,"H"
"Cyprus","cyp",2004,1.01041,"H"
"Cyprus","cyp",2007,1.063712,"H"
"Cyprus","cyp",2011,1.124835,"H"
"Cyprus","cyp",2014,1.152309,"H"
"Czech Republic","cze",1997,10.304131,"H"
"Czech Republic","cze",2001,10.216605,"H"
"Czech Republic","cze",2004,10.197101,"H"
"Czech Republic","cze",2007,10.298828,"H"
"Czech Republic","cze",2011,10.496088,"H"
"Czech Republic","cze",2014,10.525347,"H"
"Germany","deu",1997,82.034771,"H"
"Germany","deu",2001,82.349925,"H"
"Germany","deu",2004,82.51626,"H"
"Germany","deu",2007,82.266372,"H"
"Germany","deu",2011,80.274983,"H"
"Germany","deu",2014,80.9825,"H"
"Denmark","dnk",1997,5.284991,"H"
"Denmark","dnk",2001,5.358783,"H"
"Denmark","dnk",2004,5.404523,"H"
"Denmark","dnk",2007,5.461438,"H"
"Denmark","dnk",2011,5.570572,"H"
"Denmark","dnk",2014,5.643475,"H"
"Spain","esp",1997,40.057389,"H"
"Spain","esp",2001,40.850412,"H"
"Spain","esp",2004,42.921895,"H"
"Spain","esp",2007,45.226803,"H"
"Spain","esp",2011,46.742697,"H"
"Spain","esp",2014,46.480882,"H"
"Estonia","est",1997,1.399535,"H"
"Estonia","est",2001,1.388115,"H"
"Estonia","est",2004,1.36255,"H"
"Estonia","est",2007,1.34068,"H"
"Estonia","est",2011,1.327439,"H"
"Estonia","est",2014,1.314545,"H"
"Finland","fin",1997,5.139835,"H"
"Finland","fin",2001,5.188008,"H"
"Finland","fin",2004,5.228172,"H"
"Finland","fin",2007,5.28872,"H"
"Finland","fin",2011,5.388272,"H"
"Finland","fin",2014,5.461512,"H"
"France","fra",1997,59.964851,"H"
"France","fra",2001,61.35743,"H"
"France","fra",2004,62.704895,"H"
"France","fra",2007,64.016227,"H"
"France","fra",2011,65.342775,"H"
"France","fra",2014,66.3319585,"H"
"United Kingdom","gbr",1997,58.316954,"H"
"United Kingdom","gbr",2001,59.119673,"H"
"United Kingdom","gbr",2004,59.987905,"H"
"United Kingdom","gbr",2007,61.322463,"H"
"United Kingdom","gbr",2011,63.258918,"H"
"United Kingdom","gbr",2014,64.61316,"H"
"Greece","grc",1997,10.661259,"H"
"Greece","grc",2001,10.862132,"H"
"Greece","grc",2004,10.955141,"H"
"Greece","grc",2007,11.048473,"H"
"Greece","grc",2011,11.104899,"H"
"Greece","grc",2014,10.892413,"H"
"Hong Kong","hkg",1997,6.4893,"H"
"Hong Kong","hkg",2001,6.7143,"H"
"Hong Kong","hkg",2004,6.7835,"H"
"Hong Kong","hkg",2007,6.9163,"H"
"Hong Kong","hkg",2011,7.0716,"H"
"Hong Kong","hkg",2014,7.2295,"H"
"Croatia","hrv",1997,4.572,"H"
"Croatia","hrv",2001,4.44,"H"
"Croatia","hrv",2004,4.439,"H"
"Croatia","hrv",2007,4.436,"H"
"Croatia","hrv",2011,4.280622,"H"
"Croatia","hrv",2014,4.238389,"H"
"Hungary","hun",1997,10.290486,"H"
"Hungary","hun",2001,10.187576,"H"
"Hungary","hun",2004,10.107146,"H"
"Hungary","hun",2007,10.05578,"H"
"Hungary","hun",2011,9.971727,"H"
"Hungary","hun",2014,9.866468,"H"
"Indonesia","idn",1997,202.826465,"LM"
"Indonesia","idn",2001,214.506502,"LM"
"Indonesia","idn",2004,223.614649,"LM"
"Indonesia","idn",2007,232.989141,"LM"
"Indonesia","idn",2011,245.707511,"LM"
"Indonesia","idn",2014,255.131116,"LM"
"India","ind",1997,997.405318,"LM"
"India","ind",2001,1071.477855,"LM"
"India","ind",2004,1126.135777,"LM"
"India","ind",2007,1179.681239,"LM"
"India","ind",2011,1247.236029,"LM"
"India","ind",2014,1293.859294,"LM"
"Ireland","irl",1997,3.674171,"H"
