"yr","reg","col","inv","col.1","egy_p","col.2","mix_shr_p","col.3","p_shr","col.4","egy_fp","col.5","mix_shr_fp","col.6","fp_shr","col.7","egy_c","col.8","mix_shr_c","col.9","c_shr","end"
1997,"eu","&","Total Energy","&",1694.4,"&",100,"&",15.6,"&",1888.1,"&",100,"&",17.3,"&",1939.8,"&",100,"&",17.8,"\\"
1997,"eu","&","Fossil Fuels","&",1352.3,"&",79.8,"&",15.9,"&",1530,"&",81,"&",18,"&",1578.2,"&",81.4,"&",18.5,"\\"
1997,"eu","&","Nuclear","&",244.4,"&",14.4,"&",38.2,"&",237.5,"&",12.6,"&",37.1,"&",231.1,"&",11.9,"&",36.1,"\\"
1997,"eu","&","Other nr.","&",5.9,"&",0.3,"&",36.6,"&",5.8,"&",0.3,"&",35.7,"&",5.7,"&",0.3,"&",35.2,"\\"
1997,"eu","&","Other r.","&",61.8,"&",3.6,"&",4.3,"&",75.6,"&",4,"&",5.3,"&",83.6,"&",4.3,"&",5.8,"\\"
1997,"eu","&","Hydro","&",29,"&",1.7,"&",10.6,"&",38.4,"&",2,"&",14,"&",40.5,"&",2.1,"&",14.8,"\\"
1997,"eu","&","Wind","&",0.6,"&",0,"&",55.6,"&",0.6,"&",0,"&",51.7,"&",0.6,"&",0,"&",49.3,"\\"
1997,"eu","&","Solar","&",0.3,"&",0,"&",10.9,"&",0.3,"&",0,"&",10.9,"&",0.3,"&",0,"&",11.1,"\\"
1997,"usa","&","Total Energy","&",2160.8,"&",100,"&",19.9,"&",2234.4,"&",100,"&",20.5,"&",2325.1,"&",100,"&",21.4,"\\"
1997,"usa","&","Fossil Fuels","&",1874.5,"&",86.7,"&",22,"&",1929.4,"&",86.3,"&",22.7,"&",2003.7,"&",86.2,"&",23.5,"\\"
1997,"usa","&","Nuclear","&",173.6,"&",8,"&",27.2,"&",175.5,"&",7.9,"&",27.5,"&",177.6,"&",7.6,"&",27.8,"\\"
1997,"usa","&","Other nr.","&",6.4,"&",0.3,"&",40,"&",6.5,"&",0.3,"&",40.2,"&",6.5,"&",0.3,"&",40.2,"\\"
1997,"usa","&","Other r.","&",77.1,"&",3.6,"&",5.4,"&",84.5,"&",3.8,"&",5.9,"&",94.7,"&",4.1,"&",6.6,"\\"
1997,"usa","&","Hydro","&",28.6,"&",1.3,"&",10.5,"&",38,"&",1.7,"&",13.9,"&",42.1,"&",1.8,"&",15.4,"\\"
1997,"usa","&","Wind","&",0.3,"&",0,"&",24.6,"&",0.3,"&",0,"&",24.4,"&",0.3,"&",0,"&",24.6,"\\"
1997,"usa","&","Solar","&",0.2,"&",0,"&",7.6,"&",0.2,"&",0,"&",7.3,"&",0.2,"&",0,"&",7.2,"\\"
1997,"jpn","&","Total Energy","&",480.6,"&",100,"&",4.4,"&",594.2,"&",100,"&",5.5,"&",627.5,"&",100,"&",5.8,"\\"
1997,"jpn","&","Fossil Fuels","&",380.7,"&",79.2,"&",4.5,"&",489,"&",82.3,"&",5.7,"&",520.5,"&",82.9,"&",6.1,"\\"
1997,"jpn","&","Nuclear","&",83.2,"&",17.3,"&",13,"&",81,"&",13.6,"&",12.7,"&",79.2,"&",12.6,"&",12.4,"\\"
1997,"jpn","&","Other nr.","&",0.1,"&",0,"&",0.5,"&",0.2,"&",0,"&",0.9,"&",0.2,"&",0,"&",1.2,"\\"
1997,"jpn","&","Other r.","&",8.3,"&",1.7,"&",0.6,"&",13.3,"&",2.2,"&",0.9,"&",16.2,"&",2.6,"&",1.1,"\\"
1997,"jpn","&","Hydro","&",7.4,"&",1.5,"&",2.7,"&",9.7,"&",1.6,"&",3.6,"&",10.4,"&",1.7,"&",3.8,"\\"
1997,"jpn","&","Wind","&",0,"&",0,"&",0,"&",0,"&",0,"&",0.7,"&",0,"&",0,"&",1.2,"\\"
1997,"jpn","&","Solar","&",1,"&",0.2,"&",31.7,"&",1,"&",0.2,"&",31.8,"&",1,"&",0.2,"&",31.8,"\\"
1997,"roecd","&","Total Energy","&",758.3,"&",100,"&",7,"&",775.2,"&",100,"&",7.1,"&",754.7,"&",100,"&",6.9,"\\"
1997,"roecd","&","Fossil Fuels","&",626,"&",82.6,"&",7.3,"&",653.7,"&",84.3,"&",7.7,"&",637.5,"&",84.5,"&",7.5,"\\"
1997,"roecd","&","Nuclear","&",44.3,"&",5.8,"&",6.9,"&",42.4,"&",5.5,"&",6.6,"&",41.2,"&",5.5,"&",6.4,"\\"
1997,"roecd","&","Other nr.","&",0.8,"&",0.1,"&",5.1,"&",0.7,"&",0.1,"&",4.3,"&",0.6,"&",0.1,"&",3.8,"\\"
1997,"roecd","&","Other r.","&",45.6,"&",6,"&",3.2,"&",44.9,"&",5.8,"&",3.1,"&",44.6,"&",5.9,"&",3.1,"\\"
1997,"roecd","&","Hydro","&",41.1,"&",5.4,"&",15,"&",33.2,"&",4.3,"&",12.1,"&",30.4,"&",4,"&",11.1,"\\"
1997,"roecd","&","Wind","&",0,"&",0,"&",0.7,"&",0,"&",0,"&",1.8,"&",0,"&",0,"&",2.2,"\\"
1997,"roecd","&","Solar","&",0.3,"&",0,"&",11,"&",0.3,"&",0,"&",11,"&",0.3,"&",0,"&",10.8,"\\"
1997,"efta","&","Total Energy","&",51.8,"&",100,"&",0.5,"&",56.8,"&",100,"&",0.5,"&",78.4,"&",100,"&",0.7,"\\"
1997,"efta","&","Fossil Fuels","&",28.1,"&",54.4,"&",0.3,"&",36.5,"&",64.3,"&",0.4,"&",55.5,"&",70.8,"&",0.7,"\\"
