"reg","col","inv","col.1","act","col.2","int","col.3","sup","col.4","str","col.5","trd","col.6","mix","col.7","ehh","total","end"
"EU 28","&","Prod.","&",1.4792,"&",0.729,"&",0.8492,"&",1.035,"&","0.9968","&",1.0009,"&",1.0027,0.9482,"\\"
"USA","&","Prod.","&",1.5646,"&",1.03,"&",0.6187,"&",1.0541,"&","0.9989","&",1.0029,"&",1.0098,1.0633,"\\"
"Japan","&","Prod.","&",1.275,"&",1.3502,"&",0.4717,"&",1.0893,"&","1.0045","&",0.9839,"&",0.9996,0.8738,"\\"
"R.o. OECD","&","Prod.","&",1.7676,"&",0.7756,"&",0.97,"&",0.9671,"&","0.9981","&",1.0089,"&",1.0089,1.3066,"\\"
"EFTA","&","Prod.","&",1.5506,"&",0.6885,"&",1.1907,"&",1.0386,"&","0.9917","&",1.0058,"&",1.0065,1.3255,"\\"
"China","&","Prod.","&",3.2027,"&",0.6683,"&",1.2091,"&",1.0594,"&","1.0113","&",1.0057,"&",0.9605,2.6789,"\\"
"EU 28","&","Fin. Prod.","&",1.4503,"&",0.6862,"&",1.1016,"&",1.0204,"&","NA","&",1.0023,"&",1.0022,1.1238,"\\"
"USA","&","Fin. Prod.","&",1.5459,"&",0.9463,"&",0.6887,"&",1.0488,"&","NA","&",1.0032,"&",1.0095,1.0702,"\\"
"Japan","&","Fin. Prod.","&",1.1861,"&",1.0128,"&",0.6842,"&",1.0638,"&","NA","&",0.9888,"&",0.9997,0.8642,"\\"
"R.o. OECD","&","Fin. Prod.","&",1.7829,"&",0.7281,"&",1.0992,"&",0.9352,"&","NA","&",1.0086,"&",1.0085,1.3574,"\\"
"EFTA","&","Fin. Prod.","&",1.5642,"&",0.6841,"&",1.4627,"&",1.041,"&","NA","&",1.0086,"&",1.0053,1.6519,"\\"
"China","&","Fin. Prod.","&",3.597,"&",0.6706,"&",1.1124,"&",1.0682,"&","NA","&",1.0076,"&",0.9605,2.7739,"\\"
"EU 28","&","Fin. Cons.","&",1.4145,"&",0.695,"&",1.1008,"&",1.0279,"&","1.0055","&",1.0025,"&",1.0022,1.1238,"\\"
"USA","&","Fin. Cons.","&",1.534,"&",0.9083,"&",0.7383,"&",1.0373,"&","1.0001","&",1.0035,"&",1.009,1.0807,"\\"
"Japan","&","Fin. Cons.","&",1.1562,"&",0.9667,"&",0.7301,"&",1.0471,"&","1.0021","&",0.9895,"&",0.9997,0.847,"\\"
"R.o. OECD","&","Fin. Cons.","&",1.7834,"&",0.7348,"&",1.0914,"&",0.9599,"&","1.0283","&",1.0087,"&",1.0085,1.4361,"\\"
"EFTA","&","Fin. Cons.","&",1.5577,"&",0.7008,"&",1.2396,"&",1.0089,"&","1.0179","&",1.0065,"&",1.0042,1.4046,"\\"
"China","&","Fin. Cons.","&",3.6122,"&",0.681,"&",1.0844,"&",1.0798,"&","0.9968","&",1.0079,"&",0.9578,2.7722,"\\"
