"reg","inv","dt_97_14","dt_97_07","dt_07_14","ds_97_14","ds_97_07","ds_07_14","eff_97","eff_07"
"EU 28","Prod.",-1.28,-1.17,-1.63,-1.59,-1.02,-2.77,0.24,0.21
"EU 28","Fin. Prod.",-0.53,0.08,-1.38,-1.85,-2.07,-1.75,0.27,0.27
"EU 28","Fin. Cons.",-0.46,0.15,-1.32,-1.79,-2.1,-1.58,0.28,0.28
"USA","Prod.",-1.37,-1.81,-0.92,0.18,1.44,-1.45,0.29,0.23
"USA","Fin. Prod.",-1.35,-1.35,-1.54,-0.32,0.33,-1.31,0.3,0.26
"USA","Fin. Cons.",-1.31,-1.2,-1.67,-0.54,-0.12,-1.22,0.31,0.27
"Japan","Prod.",-0.85,-0.06,-2,2.06,8.7,-3.24,0.14,0.14
"Japan","Fin. Prod.",-0.81,-0.35,-1.52,0.08,3.1,-2.33,0.17,0.17
"Japan","Fin. Cons.",-0.82,-0.49,-1.35,-0.2,2.32,-2.13,0.18,0.17
"EFTA","Prod.",-0.74,-0.57,-1.03,-1.83,-4.12,1.66,0.15,0.14
"EFTA","Fin. Prod.",0.21,1.61,-1.54,-1.86,-3.56,0.41,0.18,0.21
"EFTA","Fin. Cons.",-0.67,0.09,-1.74,-1.76,-2.97,-0.06,0.24,0.24
"R.o. OECD","Prod.",-1.8,-2.03,-1.84,-1.32,-0.78,-2.53,0.41,0.33
"R.o. OECD","Fin. Prod.",-1.63,-1.78,-1.72,-1.6,-1.62,-2.01,0.42,0.34
"R.o. OECD","Fin. Cons.",-1.44,-1.49,-1.63,-1.56,-1.63,-1.87,0.41,0.35
"China","Prod.",-3.01,-3.46,-3.62,-1.95,-3.85,2.08,1.64,1.07
"China","Fin. Prod.",-2.95,-3.73,-2.92,-1.94,-3.79,1.55,1.5,0.94
"China","Fin. Cons.",-3.01,-3.86,-2.93,-1.88,-3.69,1.44,1.5,0.92
