"reg","inv","period","act","int","sup","str","trd","mix","ehh","Total"
"AUT","Prod.","97-14",0.959883123124913,0.89511375286996,1.10073534189112,0.979984477327671,1.00819381577074,1.00569335450101,1.00220968001515,0.941817803643527
"BEL","Prod.","97-14",0.993863190834814,1.11529807948563,0.78921412395638,1.01779642837975,0.985002742129694,1.00394297114726,1.00020142583964,0.880657999227807
"BGR","Prod.","97-14",1.04964615202146,0.261393860348613,2.1781819441252,0.900400752170888,1.0050858932325,1.00655857625268,1.03486506691807,0.563370706843041
"CYP","Prod.","97-14",0.64009645060043,0.309291160892436,0.811767699827294,0.889655864916191,0.9939979517304,0.344573844474087,1.15074489027579,0.0563525526698364
"CZE","Prod.","97-14",0.96063099690072,0.480905697618153,1.28343811091121,0.949917873136358,1.01088258266066,1.00075882075985,0.995275225266869,0.567088503555722
"DEU","Prod.","97-14",0.991924543517105,0.717423421583522,1.09572167833871,1.11636273689311,1.00586366475139,0.999339354279222,0.996128005621028,0.871619692728633
"DNK","Prod.","97-14",1.01002995915525,0.427447325143799,1.39716055829007,1.15151706920223,1.00239026798615,0.99454582006383,1.02341546229985,0.708675092130351
"ESP","Prod.","97-14",0.983266591272808,1.04103117093521,0.785047628942817,1.06522614073682,1.00761168097299,1.01286168995001,1.02533729518717,0.895741986240805
"EST","Prod.","97-14",0.927905699803249,1.34737246729169,0.545250709701351,0.888772752629934,0.998010256526047,1.00930614873997,0.985599670019544,0.601501833315697
"FIN","Prod.","97-14",0.968426154049638,0.583993274677916,1.43041423631192,1.03959625986716,0.977744413113006,1.00370647990706,1.0131059196425,0.836156965128039
"FRA","Prod.","97-14",0.972114226584,0.977684133399823,0.962570673197772,0.984503543134655,0.996796569448034,0.994928265576436,1.00186040447515,0.894893373064766
"GBR","Prod.","97-14",0.918427500351335,0.884440945067856,0.733353595760663,0.91805792421446,0.987809513058951,0.995440166136595,0.979874675203841,0.526933884703273
"GRC","Prod.","97-14",1.05727725605209,0.459063698032859,1.67857104377336,1.2180629414801,1.0431051352905,1.00880607627541,1.01586260500217,1.06082084451592
"HRV","Prod.","97-14",0.89326136262061,0.137358248374694,3.88827531253254,0.922496206469935,0.998526810190939,1.00085537617459,0.997475258426447,0.438720652149042
"HUN","Prod.","97-14",0.913050331604143,0.51058216485386,1.35462761081568,0.929718757768139,1.00996639513898,1.00476777756987,1.01297937477204,0.603538669356909
"IRL","Prod.","97-14",0.960379453330834,0.527635001330455,0.959398095201088,0.9950109725873,0.970809324575251,1.03342130625301,1.00262205444047,0.486577231419576
"ITA","Prod.","97-14",1.01446410465531,1.14237403604173,0.812268773922041,1.03865689286344,1.00514421375946,1.00930503706462,1.04408578178215,1.03562821355883
"LTU","Prod.","97-14",0.797103153597114,0.447813861469123,1.4218506361176,0.938909879764703,1.01326717528833,0.822166182790225,1.00502766466635,0.398980385163317
"LUX","Prod.","97-14",0.507087047593433,0.46600195583506,1.88002359312026,0.853558296958669,0.984901745829941,1.16016563840868,1.03881551846343,0.450109396324906
"LVA","Prod.","97-14",0.770124029979356,0.365012493917433,1.65107801498626,0.94821792948181,0.988266678702958,1.02536648702072,0.949585417202961,0.423478601655623
"NLD","Prod.","97-14",0.954933957645172,0.802326133518665,0.931987704264802,1.03337130840894,0.944445531627297,1.00139236251327,0.972885950464354,0.678944039872413
"POL","Prod.","97-14",0.849850174855028,0.329851402259888,1.51745664824948,1.02695126943563,1.01074083419502,1.00649194704524,0.996192729998518,0.442711002766462
"PRT","Prod.","97-14",1.01461151314853,0.723714051269478,1.18025637328572,0.964154930616111,1.01085261109255,1.03782778156421,1.00053406156675,0.877071459693733
"ROU","Prod.","97-14",0.966760078998219,0.462324079383401,1.12912402553398,0.93560217948208,1.01280279062334,0.996708812384229,1.00891168072299,0.480888545828322
"SVK","Prod.","97-14",0.838030605744711,0.381291071494657,1.17247365720055,0.914596283104581,1.0119510896125,1.01353776157455,0.983016760438981,0.345469268508659
"SVN","Prod.","97-14",0.911555811576774,1.04157234987511,0.841114249797223,0.849648449124325,1.01110468291564,0.954455990125311,1.07869262038168,0.706344720873695
"SWE","Prod.","97-14",1.00049353043638,0.284771486435129,2.47482800447516,1.01445300003823,0.99326064698581,1.00964912082143,1.01069594437604,0.725006604595094
"AUT","Fin. Prod.","97-14",0.954993137329793,0.742353563233887,1.67323470443273,0.988426192638179,NA,1.00685225705019,1.00145446053551,1.18224942224622
"BEL","Fin. Prod.","97-14",0.973281664015816,0.815005077381869,1.23770002058424,1.02904167126619,NA,1.00565959691115,1.0001596566803,1.01617276503782
"BGR","Fin. Prod.","97-14",1.02545294573144,0.334553070262926,1.97448891361397,0.942774160829343,NA,1.00591559238481,1.03555662952207,0.665240254230087
"CYP","Fin. Prod.","97-14",0.805288281566844,0.591473539492182,2.55691844574736,0.983800754642264,NA,0.871542678255468,1.02576198713228,1.0711393820457
"CZE","Fin. Prod.","97-14",0.947818725957635,0.499202325826652,1.44280547144838,0.984528032456684,NA,0.999490829811921,0.995327821192363,0.668625151316498
"DEU","Fin. Prod.","97-14",0.977240776887519,0.685211768752504,1.29276823601843,1.11914160560905,NA,0.999993168586043,0.997022854122883,0.965904645236787
"DNK","Fin. Prod.","97-14",0.982980638587365,0.486157451363136,1.90330803090442,1.11154262616144,NA,1.00275283898992,1.01522442032881,1.0292314975165
"ESP","Fin. Prod.","97-14",0.966428565304606,0.813705419773764,1.23170845886746,1.0450937670673,NA,1.00941477439456,1.02015019814569,1.04239885037861
"EST","Fin. Prod.","97-14",0.944517036771467,0.853379213587689,0.869744871163479,0.895191226713293,NA,1.00830347997855,0.987276415392793,0.624725996362545
"FIN","Fin. Prod.","97-14",0.96502537591618,0.52406110188513,1.61871542471629,1.01870579625621,NA,1.00426838079804,1.01387878915194,0.849133095766827
