"group","reg","tab","eff_fac_97-14","tab.1","eff_fac_97-07","tab.2","eff_fac_07-14","tab.3","sec_int_97","tab.4","sec_int_07","end"
"eu_15","aut","&",-0.62,"&",-0.29,"&",-1.14,"&",0.14,"&",0.13,"\\"
"eu_15","bel","&",0.68,"&",2.22,"&",-1.35,"&",0.29,"&",0.29,"\\"
"eu_15","deu","&",-1.66,"&",-2.26,"&",-1.25,"&",0.16,"&",0.16,"\\"
"eu_15","dnk","&",-3.37,"&",-5.2,"&",-2.29,"&",0.15,"&",0.11,"\\"
"eu_15","esp","&",0.24,"&",8.41,"&",-6.33,"&",0.23,"&",0.2,"\\"
"eu_15","fin","&",-2.45,"&",-3.82,"&",-1.12,"&",0.32,"&",0.26,"\\"
"eu_15","fra","&",-0.13,"&",2.38,"&",-2.88,"&",0.21,"&",0.21,"\\"
"eu_15","gbr","&",-0.68,"&",1.71,"&",-3.57,"&",0.18,"&",0.13,"\\"
"eu_15","grc","&",-3.18,"&",-3.43,"&",-4.7,"&",0.28,"&",0.21,"\\"
"eu_15","irl","&",-2.78,"&",-3.57,"&",-3.66,"&",0.13,"&",0.07,"\\"
"eu_15","ita","&",0.84,"&",3.46,"&",-1.55,"&",0.14,"&",0.16,"\\"
"eu_15","lux","&",-3.14,"&",-6.54,"&",5.4,"&",0.07,"&",0.05,"\\"
"eu_15","nld","&",-1.16,"&",0.51,"&",-3.7,"&",0.33,"&",0.24,"\\"
"eu_15","prt","&",-1.63,"&",-0.71,"&",-3.3,"&",0.25,"&",0.21,"\\"
"eu_15","swe","&",-4.21,"&",-6.98,"&",-1.25,"&",0.3,"&",0.22,"\\"
"eeu","bgr","&",-4.34,"&",-6.54,"&",-3.85,"&",2.33,"&",1.63,"\\"
"eeu","cyp","&",-4.06,"&",-7.18,"&",2.1,"&",0.18,"&",0,"\\"
"eeu","cze","&",-3.05,"&",-3.97,"&",-3.54,"&",0.82,"&",0.58,"\\"
"eeu","est","&",2.04,"&",4.8,"&",-0.83,"&",1.18,"&",0.68,"\\"
"eeu","hrv","&",-5.07,"&",-8.35,"&",-6.27,"&",0.58,"&",0.33,"\\"
"eeu","hun","&",-2.88,"&",-5.08,"&",0.21,"&",0.68,"&",0.47,"\\"
"eeu","ltu","&",-3.25,"&",-5.17,"&",-2.54,"&",1.56,"&",0.63,"\\"
"eeu","lva","&",-3.74,"&",-6.14,"&",-1.01,"&",0.48,"&",0.19,"\\"
"eeu","mlt","&",0,"&",0,"&",0,"&",0,"&",0,"\\"
"eeu","pol","&",-3.94,"&",-6.3,"&",-2.33,"&",0.87,"&",0.47,"\\"
"eeu","rou","&",-3.16,"&",-4.11,"&",-3.6,"&",1.29,"&",0.83,"\\"
"eeu","svk","&",-3.64,"&",-5.56,"&",-2.69,"&",1.16,"&",0.52,"\\"
"eeu","svn","&",0.24,"&",0.3,"&",0.55,"&",0.29,"&",0.18,"\\"
"oecd","aus","&",-1.85,"&",-2.08,"&",-2.1,"&",0.28,"&",0.21,"\\"
"oecd","can","&",-2.8,"&",-3.84,"&",-2.87,"&",0.42,"&",0.34,"\\"
"oecd","che","&",2.15,"&",-4.31,"&",21.88,"&",0.08,"&",0.06,"\\"
"oecd","chl","&",-0.99,"&",-3.09,"&",2.36,"&",0.27,"&",0.18,"\\"
"oecd","jpn","&",2.06,"&",8.7,"&",-3.24,"&",0.14,"&",0.14,"\\"
"oecd","kor","&",0.75,"&",2.7,"&",-1.51,"&",0.49,"&",0.37,"\\"
"oecd","mex","&",-2.4,"&",0.04,"&",-5.52,"&",0.38,"&",0.29,"\\"
"oecd","nzl","&",-0.2,"&",-0.58,"&",0.28,"&",0.27,"&",0.19,"\\"
"oecd","tur","&",3.05,"&",5.67,"&",-0.35,"&",0.32,"&",0.37,"\\"
"oecd","usa","&",0.18,"&",1.44,"&",-1.45,"&",0.27,"&",0.22,"\\"
"oecd","xef","&",-3.01,"&",-4.02,"&",-3.17,"&",0.23,"&",0.27,"\\"
"brics","bra","&",-0.95,"&",-3.03,"&",2.68,"&",0.23,"&",0.26,"\\"
"brics","chn","&",-1.95,"&",-3.85,"&",2.08,"&",1.25,"&",0.96,"\\"
"brics","ind","&",-2.66,"&",-4.4,"&",-0.13,"&",0.76,"&",0.57,"\\"
"brics","rus","&",-4.1,"&",-7.76,"&",5.11,"&",1.59,"&",1.36,"\\"
"row","alb","&",-0.55,"&",0.47,"&",-2.05,"&",0.58,"&",0.2,"\\"
"row","arg","&",0.68,"&",-0.93,"&",2.65,"&",0.19,"&",0.2,"\\"
"row","bgd","&",0.1,"&",-0.62,"&",1.01,"&",0.13,"&",0.14,"\\"
"row","bwa","&",0.99,"&",-0.87,"&",0.76,"&",0.1,"&",0.07,"\\"
"row","col","&",-4.38,"&",-7.73,"&",0.44,"&",0.35,"&",0.24,"\\"
"row","hkg","&",-2.22,"&",-4.17,"&",1.02,"&",0.05,"&",0.04,"\\"
"row","idn","&",-1.26,"&",-1.71,"&",-2.64,"&",0.51,"&",0.46,"\\"
"row","lka","&",-3.56,"&",-4.63,"&",-4.15,"&",0.24,"&",0.19,"\\"
"row","mar","&",-0.92,"&",2.34,"&",-4.48,"&",0.29,"&",0.21,"\\"
"row","moz","&",-3.99,"&",-5.84,"&",-1.53,"&",0.67,"&",0.36,"\\"
"row","mwi","&",0.09,"&",0.87,"&",-1.56,"&",0.26,"&",0.16,"\\"
"row","mys","&",2.45,"&",0.44,"&",4.49,"&",0.39,"&",0.52,"\\"
"row","per","&",0.37,"&",-0.8,"&",2.23,"&",0.18,"&",0.2,"\\"
"row","phl","&",-1.58,"&",-4.22,"&",4.44,"&",0.49,"&",0.29,"\\"
"row","sgp","&",-4.36,"&",-7.04,"&",-2.63,"&",0.85,"&",0.43,"\\"
"row","tha","&",-1.74,"&",-4.42,"&",3.72,"&",0.56,"&",0.58,"\\"
"row","twn","&",-2.78,"&",-3.19,"&",-3.74,"&",0.26,"&",0.33,"\\"
"row","tza","&",-0.12,"&",-0.63,"&",0.58,"&",0.62,"&",0.55,"\\"
"row","uga","&",-0.24,"&",-0.33,"&",-0.12,"&",0.25,"&",0.16,"\\"
"row","ury","&",-1.78,"&",-4.69,"&",3.34,"&",0.15,"&",0.13,"\\"
"row","ven","&",-0.01,"&",-1.21,"&",2.24,"&",1.25,"&",0.79,"\\"
"row","vnm","&",-0.28,"&",-2.12,"&",0.92,"&",0.55,"&",0.5,"\\"
"row","xac","&",-2.15,"&",6.93,"&",-6.02,"&",0.71,"&",0.37,"\\"
"row","xap","&",-2.73,"&",-7.28,"&",10.46,"&",0.47,"&",0.34,"\\"
"row","xcm","&",-3.24,"&",-5.47,"&",-0.68,"&",2.41,"&",0.96,"\\"
"row","xme","&",-3.51,"&",-5.74,"&",-1.54,"&",1.1,"&",0.75,"\\"
"row","xnf","&",0.26,"&",-1.62,"&",3.01,"&",0.76,"&",0.57,"\\"
"row","xsa","&",-2.4,"&",-4.08,"&",-0.07,"&",0.9,"&",1.03,"\\"
"row","xsc","&",3.32,"&",2.05,"&",4.82,"&",0.91,"&",0.63,"\\"
"row","xsm","&",-0.82,"&",-4.1,"&",8.01,"&",2.39,"&",1.48,"\\"
"row","xss","&",0.35,"&",0.6,"&",-0.17,"&",0.52,"&",0.44,"\\"
"row","xsu","&",-2.4,"&",-4.6,"&",0.95,"&",2.38,"&",1.51,"\\"
"row","xtw","&",-1.41,"&",-2.21,"&",-0.29,"&",4.6,"&",11.05,"\\"
"row","zmb","&",2.49,"&",4.29,"&",-0.91,"&",1.02,"&",0.65,"\\"
"row","zwe","&",-0.43,"&",-0.75,"&",0.32,"&",0.45,"&",0.74,"\\"
